#文件格式：x,y,名称,血量,类型,阵营,攻击距离,移动距离,伤害,防御
7,0,敌方坦克,15,dftk,e,1,2,3,1
6,1,敌方防御塔,10,dftower,e,4,0,3,0
7,1,敌方大队,20,dfsb,e,1,1,3,0
2,2,敌方坦克,15,dftk,e,1,2,3,1
4,3,敌方大队,20,dfsb,e,1,1,3,0
4,4,敌方大队,20,dfsb,e,1,1,3,0
6,4,敌方坦克,15,dftk,e,1,2,3,1
3,5,敌方防御塔,10,dftower,e,4,0,3,0
12,6,我方火炮,8,wfhp,f,2,2,3,0
11,7,我方火炮,8,wfhp,f,2,2,3,0
12,7,敌方大队,20,wfsb,f,1,1,3,0
13,7,敌方大队,20,wfsb,f,1,1,3,0
3,8,敌方防御塔,10,dftower,e,4,0,3,0
10,8,A48主战坦克,15,wftk,f,1,2,3,1
11,8,A48主战坦克,15,wftk,f,1,2,3,1
12,8,A48主战坦克,15,wftk,f,1,2,3,1
0,9,敌方坦克,15,dftk,e,1,2,3,1
2,9,敌方大队,20,dfsb,e,1,1,3,0
6,9,敌方坦克,15,dftk,e,1,2,3,1
9,9,我方重火炮,9,wfhp,f,2,2,4,1
10,9,我方重火炮,9,wfhp,f,2,2,4,1
12,9,A48主战坦克,15,wftk,f,1,2,3,1
2,10,敌方大队,20,dfsb,e,1,1,3,0
#=============玩家编辑器生成=============
